week,period_split,category,product_id,product_name,region,channel,order_count,units,unit_price,gross_revenue,promo_depth,discounts,return_rate,returns,net_revenue,cogs,fulfillment,contribution_margin,provenance,injected_anomaly,anomaly_reason
2029-04-01,analysis,Home,H-04,Kitchen kit,North,Retail,37,41,86,3526,0.058,204.51,0.0565,199.22,3122.27,1968,254.2,900.07,synthetic,false,
2029-04-01,analysis,Home,H-04,Kitchen kit,South,Direct,39,51,86,4386,0.0963,422.37,0.0321,140.79,3822.84,2448,316.2,1058.64,synthetic,false,
2029-04-01,analysis,Home,H-04,Kitchen kit,South,Marketplace,37,45,86,3870,0.1017,393.58,0.0415,160.61,3315.81,2160,301.32,854.49,synthetic,false,
2029-04-01,analysis,Home,H-04,Kitchen kit,South,Retail,29,37,86,3182,0.0638,203.01,0.0384,122.19,2856.8,1776,229.4,851.4,synthetic,false,
2029-04-01,analysis,Home,H-04,Kitchen kit,West,Direct,43,52,86,4472,0.0868,388.17,0.0221,98.83,3985,2496,322.4,1166.6,synthetic,false,
2029-04-01,analysis,Home,H-04,Kitchen kit,West,Marketplace,39,49,86,4214,0.0497,209.44,0.0418,176.15,3828.41,2352,328.1,1148.31,synthetic,false,
2029-04-01,analysis,Home,H-04,Kitchen kit,West,Retail,36,40,86,3440,0.1035,356.04,0.0548,188.51,2895.45,1920,248,727.45,synthetic,false,
2029-04-01,analysis,Electronics,E-01,USB-C hub,North,Direct,45,58,118,6844,0.1168,799.38,0.0465,318.25,5726.37,4524,452.4,749.97,synthetic,false,
2029-04-01,analysis,Electronics,E-01,USB-C hub,North,Marketplace,37,40,118,4720,0.1006,474.83,0.0367,173.22,4071.95,3120,336.96,614.99,synthetic,false,
2029-04-01,analysis,Electronics,E-01,USB-C hub,North,Retail,32,36,118,4248,0.0627,266.35,0.0243,103.23,3878.42,2808,280.8,789.62,synthetic,false,
2029-04-01,analysis,Electronics,E-01,USB-C hub,South,Direct,38,44,118,5192,0.0841,436.65,0.0184,95.53,4659.82,3432,343.2,884.62,synthetic,false,
2029-04-01,analysis,Electronics,E-01,USB-C hub,South,Marketplace,37,45,118,5310,0.0803,426.39,0.0195,103.55,4780.06,3510,379.08,890.98,synthetic,false,
2029-04-01,analysis,Electronics,E-01,USB-C hub,South,Retail,28,36,118,4248,0.0773,328.37,0.0367,155.9,3763.73,2808,280.8,674.93,synthetic,false,
2029-04-01,analysis,Electronics,E-01,USB-C hub,West,Direct,42,55,118,6490,0.0539,349.81,0.0244,158.36,5981.83,4290,429,1262.83,synthetic,false,
2029-04-01,analysis,Electronics,E-01,USB-C hub,West,Marketplace,35,38,118,4484,0.066,295.94,0.0553,247.97,3940.09,2964,320.11,655.98,synthetic,false,
2029-04-01,analysis,Electronics,E-01,USB-C hub,West,Retail,34,44,118,5192,0.1171,607.98,0.0475,246.62,4337.4,3432,343.2,562.2,synthetic,false,
2029-04-01,analysis,Electronics,E-02,Desk speaker,North,Direct,32,35,146,5110,0.0802,409.82,0.0545,278.5,4421.68,3290,290.5,841.18,synthetic,false,
2029-04-01,analysis,Electronics,E-02,Desk speaker,North,Marketplace,31,36,146,5256,0.0705,370.55,0.0366,192.37,4693.08,3384,322.7,986.38,synthetic,false,
2029-04-01,analysis,Electronics,E-02,Desk speaker,North,Retail,28,31,146,4526,0.1121,507.36,0.0188,85.09,3933.55,2914,257.3,762.25,synthetic,false,
2029-04-01,analysis,Electronics,E-02,Desk speaker,South,Direct,32,38,146,5548,0.0616,341.76,0.0355,196.95,5009.29,3572,315.4,1121.89,synthetic,false,
2029-04-01,analysis,Electronics,E-02,Desk speaker,South,Marketplace,29,39,146,5694,0.0939,534.67,0.0323,183.92,4975.41,3666,349.6,959.81,synthetic,false,
2029-04-01,analysis,Electronics,E-02,Desk speaker,South,Retail,25,30,146,4380,0.0495,216.81,0.029,127.02,4036.17,2820,249,967.17,synthetic,false,
2029-04-01,analysis,Electronics,E-02,Desk speaker,West,Direct,29,36,146,5256,0.0876,460.43,0.0196,103.02,4692.55,3384,298.8,1009.75,synthetic,false,
2029-04-01,analysis,Electronics,E-02,Desk speaker,West,Marketplace,29,35,146,5110,0.081,413.91,0.0206,105.27,4590.82,3290,313.74,987.08,synthetic,false,
2029-04-01,analysis,Electronics,E-02,Desk speaker,West,Retail,28,33,146,4818,0.0851,410.01,0.056,269.81,4138.18,3102,273.9,762.28,synthetic,false,
2029-04-01,analysis,Electronics,E-03,Travel display,North,Direct,20,25,228,5700,0.1032,588.24,0.0506,288.42,4823.34,3850,295,678.34,synthetic,false,
2029-04-01,analysis,Electronics,E-03,Travel display,North,Marketplace,19,21,228,4788,0.0948,453.9,0.0298,142.68,4191.42,3234,267.62,689.8,synthetic,false,
2029-04-01,analysis,Electronics,E-03,Travel display,North,Retail,17,22,228,5016,0.0608,304.97,0.0277,138.94,4572.09,3388,259.6,924.49,synthetic,false,
2029-04-01,analysis,Electronics,E-03,Travel display,South,Direct,19,21,228,4788,0.0636,304.52,0.0421,201.57,4281.91,3234,247.8,800.11,synthetic,false,
2029-04-01,analysis,Electronics,E-03,Travel display,South,Marketplace,16,19,228,4332,0.0556,240.86,0.0454,196.67,3894.47,2926,242.14,726.33,synthetic,false,
2029-04-01,analysis,Electronics,E-03,Travel display,South,Retail,15,16,228,3648,0.0851,310.44,0.0321,117.1,3220.46,2464,188.8,567.66,synthetic,false,
2029-04-01,analysis,Electronics,E-03,Travel display,West,Direct,20,24,228,5472,0.116,634.75,0.0514,281.26,4555.99,3696,283.2,576.79,synthetic,false,
2029-04-01,analysis,Electronics,E-03,Travel display,West,Marketplace,19,23,228,5244,0.0685,359.21,0.0562,294.71,4590.08,3542,293.11,754.97,synthetic,false,
2029-04-01,analysis,Electronics,E-03,Travel display,West,Retail,16,20,228,4560,0.1031,470.14,0.0434,197.9,3891.96,3080,236,575.96,synthetic,false,
2029-04-01,analysis,Electronics,E-04,Web camera,North,Direct,55,70,96,6720,0.069,463.68,0.0441,296.35,5959.97,4270,483,1206.97,synthetic,false,
2029-04-01,analysis,Electronics,E-04,Web camera,North,Marketplace,47,55,96,5280,0.0521,275.09,0.0374,197.47,4807.44,3355,409.86,1042.58,synthetic,false,
2029-04-01,analysis,Electronics,E-04,Web camera,North,Retail,38,43,96,4128,0.0787,324.87,0.042,173.38,3629.75,2623,296.7,710.05,synthetic,false,
2029-04-01,analysis,Electronics,E-04,Web camera,South,Direct,47,54,96,5184,0.0504,261.27,0.0589,305.34,4617.39,3294,372.6,950.79,synthetic,false,
2029-04-01,analysis,Electronics,E-04,Web camera,South,Marketplace,38,49,96,4704,0.103,484.51,0.0573,269.54,3949.95,2989,365.15,595.8,synthetic,false,
2029-04-01,analysis,Electronics,E-04,Web camera,South,Retail,35,38,96,3648,0.1009,368.08,0.0323,117.83,3162.09,2318,262.2,581.89,synthetic,false,
2029-04-01,analysis,Electronics,E-04,Web camera,West,Direct,50,61,96,5856,0.0741,433.93,0.0551,322.67,5099.4,3721,420.9,957.5,synthetic,false,
2029-04-01,analysis,Electronics,E-04,Web camera,West,Marketplace,42,46,96,4416,0.0466,205.79,0.0296,130.71,4079.5,2806,342.79,930.71,synthetic,false,
2029-04-01,analysis,Electronics,E-04,Web camera,West,Retail,39,46,96,4416,0.0495,218.59,0.0188,83.02,4114.39,2806,317.4,990.99,synthetic,false,
2029-04-01,analysis,Beauty,B-01,Daily serum,North,Direct,96,124,34,4216,0.0814,343.18,0.0388,163.58,3709.24,1736,520.8,1452.44,synthetic,false,
2029-04-01,analysis,Beauty,B-01,Daily serum,North,Marketplace,89,105,34,3570,0.0966,344.86,0.0349,124.59,3100.55,1470,476.28,1154.27,synthetic,false,
2029-04-01,analysis,Beauty,B-01,Daily serum,North,Retail,79,97,34,3298,0.046,151.71,0.0503,165.89,2980.4,1358,407.4,1215,synthetic,false,
2029-04-01,analysis,Beauty,B-01,Daily serum,South,Direct,84,94,34,3196,0.0886,283.17,0.0233,74.47,2838.36,1316,394.8,1127.56,synthetic,false,
2029-04-01,analysis,Beauty,B-01,Daily serum,South,Marketplace,86,110,34,3740,0.0609,227.77,0.04,149.6,3362.63,1540,498.96,1323.67,synthetic,false,
2029-04-01,analysis,Beauty,B-01,Daily serum,South,Retail,69,76,34,2584,0.0858,221.71,0.0376,97.16,2265.13,1064,319.2,881.93,synthetic,false,
2029-04-01,analysis,Beauty,B-01,Daily serum,West,Direct,93,119,34,4046,0.0941,380.73,0.0189,76.47,3588.8,1666,499.8,1423,synthetic,false,
2029-04-01,analysis,Beauty,B-01,Daily serum,West,Marketplace,80,99,34,3366,0.1035,348.38,0.0424,142.72,2874.9,1386,449.06,1039.84,synthetic,false,
2029-04-01,analysis,Beauty,B-01,Daily serum,West,Retail,67,76,34,2584,0.1159,299.49,0.0222,57.36,2227.15,1064,319.2,843.95,synthetic,false,
2029-04-01,analysis,Beauty,B-02,Cleanser set,North,Direct,81,104,42,4368,0.0901,393.56,0.0506,221.02,3753.42,1872,468,1413.42,synthetic,false,
2029-04-01,analysis,Beauty,B-02,Cleanser set,North,Marketplace,73,83,42,3486,0.0885,308.51,0.0376,131.07,3046.42,1494,403.38,1149.04,synthetic,false,
2029-04-01,analysis,Beauty,B-02,Cleanser set,North,Retail,70,89,42,3738,0.1168,436.6,0.0324,121.11,3180.29,1602,400.5,1177.79,synthetic,false,
2029-04-01,analysis,Beauty,B-02,Cleanser set,South,Direct,75,91,42,3822,0.0929,355.06,0.0414,158.23,3308.71,1638,409.5,1261.21,synthetic,false,
2029-04-01,analysis,Beauty,B-02,Cleanser set,South,Marketplace,73,85,42,3570,0.1026,366.28,0.0575,205.28,2998.44,1530,413.1,1055.34,synthetic,false,
2029-04-01,analysis,Beauty,B-02,Cleanser set,South,Retail,63,69,42,2898,0.065,188.37,0.0587,170.11,2539.52,1242,310.5,987.02,synthetic,false,
2029-04-01,analysis,Beauty,B-02,Cleanser set,West,Direct,77,95,42,3990,0.0511,203.89,0.0417,166.38,3619.73,1710,427.5,1482.23,synthetic,false,
2029-04-01,analysis,Beauty,B-02,Cleanser set,West,Marketplace,77,87,42,3654,0.1194,436.29,0.0364,133.01,3084.7,1566,422.82,1095.88,synthetic,false,
2029-04-01,analysis,Beauty,B-02,Cleanser set,West,Retail,68,82,42,3444,0.0471,162.21,0.02,68.88,3212.91,1476,369,1367.91,synthetic,false,
2029-04-01,analysis,Beauty,B-03,Mineral tint,North,Direct,77,89,38,3382,0.1081,365.59,0.0343,116,2900.41,1424,364.9,1111.51,synthetic,false,
2029-04-01,analysis,Beauty,B-03,Mineral tint,North,Marketplace,76,98,38,3724,0.0903,336.28,0.0246,91.61,3296.11,1568,433.94,1294.17,synthetic,false,
2029-04-01,analysis,Beauty,B-03,Mineral tint,North,Retail,66,72,38,2736,0.0651,178.11,0.0202,55.27,2502.62,1152,295.2,1055.42,synthetic,false,
2029-04-01,analysis,Beauty,B-03,Mineral tint,South,Direct,74,95,38,3610,0.0639,230.68,0.0274,98.91,3280.41,1520,389.5,1370.91,synthetic,false,
2029-04-01,analysis,Beauty,B-03,Mineral tint,South,Marketplace,60,72,38,2736,0.1125,307.8,0.0237,64.84,2363.36,1152,318.82,892.54,synthetic,false,
2029-04-01,analysis,Beauty,B-03,Mineral tint,South,Retail,53,58,38,2204,0.0652,143.7,0.033,72.73,1987.57,928,237.8,821.77,synthetic,false,
2029-04-01,analysis,Beauty,B-03,Mineral tint,West,Direct,80,90,38,3420,0.0523,178.87,0.0204,69.77,3171.36,1440,369,1362.36,synthetic,false,
2029-04-01,analysis,Beauty,B-03,Mineral tint,West,Marketplace,66,83,38,3154,0.0459,144.77,0.0266,83.9,2925.33,1328,367.52,1229.81,synthetic,false,
2029-04-01,analysis,Beauty,B-03,Mineral tint,West,Retail,61,69,38,2622,0.0688,180.39,0.0493,129.26,2312.35,1104,282.9,925.45,synthetic,false,
2029-04-01,analysis,Beauty,B-04,Travel kit,North,Direct,118,158,28,4424,0.1146,506.99,0.0299,132.28,3784.73,1738,616.2,1430.53,synthetic,false,
2029-04-01,analysis,Beauty,B-04,Travel kit,North,Marketplace,108,144,28,4032,0.0673,271.35,0.0181,72.98,3687.67,1584,606.53,1497.14,synthetic,false,
2029-04-01,analysis,Beauty,B-04,Travel kit,North,Retail,92,117,28,3276,0.0743,243.41,0.055,180.18,2852.41,1287,456.3,1109.11,synthetic,false,
2029-04-01,analysis,Beauty,B-04,Travel kit,South,Direct,103,134,28,3752,0.0491,184.22,0.036,135.07,3432.71,1474,522.6,1436.11,synthetic,false,
2029-04-01,analysis,Beauty,B-04,Travel kit,South,Marketplace,92,105,28,2940,0.0713,209.62,0.039,114.66,2615.72,1155,442.26,1018.46,synthetic,false,
2029-04-01,analysis,Beauty,B-04,Travel kit,South,Retail,69,80,28,2240,0.0963,215.71,0.056,125.44,1898.85,880,312,706.85,synthetic,false,
2029-04-01,analysis,Beauty,B-04,Travel kit,West,Direct,102,124,28,3472,0.1048,363.87,0.0549,190.61,2917.52,1364,483.6,1069.92,synthetic,false,
2029-04-01,analysis,Beauty,B-04,Travel kit,West,Marketplace,84,106,28,2968,0.1186,352,0.045,133.56,2482.44,1166,446.47,869.97,synthetic,false,
2029-04-01,analysis,Beauty,B-04,Travel kit,West,Retail,82,100,28,2800,0.0479,134.12,0.0423,118.44,2547.44,1100,390,1057.44,synthetic,false,
2029-04-01,analysis,Outdoors,O-01,Trail bottle,North,Direct,85,103,31,3193,0.1108,353.78,0.0515,164.44,2674.78,1339,484.1,851.68,synthetic,false,
2029-04-01,analysis,Outdoors,O-01,Trail bottle,North,Marketplace,85,107,31,3317,0.1035,343.31,0.0227,75.3,2898.39,1391,543.13,964.26,synthetic,false,
2029-04-01,analysis,Outdoors,O-01,Trail bottle,North,Retail,71,80,31,2480,0.096,238.08,0.0451,111.85,2130.07,1040,376,714.07,synthetic,false,
2029-04-01,analysis,Outdoors,O-01,Trail bottle,South,Direct,91,118,31,3658,0.0477,174.49,0.0458,167.54,3315.97,1534,554.6,1227.37,synthetic,false,
2029-04-01,analysis,Outdoors,O-01,Trail bottle,South,Marketplace,70,85,31,2635,0.0545,143.61,0.0311,81.95,2409.44,1105,431.46,872.98,synthetic,false,
2029-04-01,analysis,Outdoors,O-01,Trail bottle,South,Retail,68,76,31,2356,0.1076,253.51,0.0325,76.57,2025.92,988,357.2,680.72,synthetic,false,
2029-04-01,analysis,Outdoors,O-01,Trail bottle,West,Direct,94,119,31,3689,0.0647,238.68,0.021,77.47,3372.85,1547,559.3,1266.55,synthetic,false,
2029-04-01,analysis,Outdoors,O-01,Trail bottle,West,Marketplace,75,86,31,2666,0.101,269.27,0.0194,51.72,2345.01,1118,436.54,790.47,synthetic,false,
2029-04-01,analysis,Outdoors,O-01,Trail bottle,West,Retail,69,88,31,2728,0.0534,145.68,0.0271,73.93,2508.39,1144,413.6,950.79,synthetic,false,
2029-04-01,analysis,Outdoors,O-02,Day pack,North,Direct,39,42,88,3696,0.0616,227.67,0.0499,184.43,3283.9,1974,298.2,1011.7,synthetic,false,
2029-04-01,analysis,Outdoors,O-02,Day pack,North,Marketplace,36,47,88,4136,0.0585,241.96,0.038,157.17,3736.87,2209,360.4,1167.47,synthetic,false,
2029-04-01,analysis,Outdoors,O-02,Day pack,North,Retail,33,37,88,3256,0.1005,327.23,0.0459,149.45,2779.32,1739,262.7,777.62,synthetic,false,
